id,count
0,76.56
1,175.35
2,57.69
4,27.02
5,57.99
10,100.08
11,167.34
12,251.54
15,29.46
17,95.97
18,241.43
23,206.3
25,84.01
26,29.46
31,160.78
39,139.28
40,22.21
41,150.09
42,300.83
43,128.93
51,174.13
52,63.98
54,13.14
60,112.74
61,110.5
62,93.86
63,22.22
65,93.65
66,91.09
68,133.46
71,58.38
80,24.89
82,57.1
94,105.26
98,221.86
101,29.36
102,108.11
107,81.7
112,185.79
113,56.04
115,40.39
116,99.88
120,113.62
121,70.04
122,271.14
132,144.39
143,70.11
147,53.02
150,13.01
151,72.79
152,177.82
153,73.13
155,134.2
156,66.62
159,146.25
161,91.7
163,38.09
177,138.18
186,11.82
188,14.58
190,69.42
191,61.33
192,214.89
195,247.77
200,113.68
209,254.43
210,13.07
211,171.41
214,104.01
215,21.76
218,81.6
219,25.0
222,93.03
225,12.77
228,262.26
236,173.37
241,29.12
242,145.81
243,180.03
245,15.13
247,197.97
251,108.3
252,63.74
253,66.23
254,74.73
258,258.03
260,43.7
261,137.35
265,87.63
266,223.81
267,240.66
269,119.78
270,56.96
275,81.34
278,28.86
279,64.4
286,76.21
287,23.18
288,158.06
289,111.49
293,13.86
294,109.48
297,31.14
302,94.78
303,55.65
304,61.6
307,82.25
309,13.62
311,139.74
312,94.82
314,143.06
315,184.34
319,137.43
322,96.98
323,57.5
325,110.16
327,192.19
330,27.18
332,152.5
333,13.72
338,81.55
341,88.42
345,152.62
348,106.5
349,37.86
350,94.74
352,42.11
355,12.55
356,194.42
358,45.3
363,109.96
369,133.17
371,14.1
372,118.69
375,240.3
380,110.14
388,36.78
391,113.37
392,217.66
393,306.26
394,160.01
396,21.54
401,31.57
407,83.33
409,73.84
410,91.95
416,87.27
418,98.73
420,120.05
421,176.49
422,107.1
424,235.97
428,266.88
429,164.6
431,136.79
435,9.41
439,91.39
441,9.58
447,72.86
449,124.01
451,111.73
452,12.32
454,169.7
458,168.6
463,102.21
467,11.64
470,192.78
471,125.93
474,234.47
478,12.82
483,98.26
484,111.39
485,68.66
486,102.3
491,78.94
494,77.52
495,186.71
497,168.07
499,127.89
515,89.8
518,162.03
521,132.04
525,123.36
529,201.36
532,116.02
534,81.71
540,91.62
544,244.09
547,136.5
549,36.9
563,28.28
564,110.18
567,100.86
572,87.72
577,109.3
578,211.93
585,279.22
588,117.23
589,94.58
590,87.05
592,13.78
594,187.09
596,11.63
598,275.7
599,114.55
605,29.54
606,112.23
607,201.42
608,182.91
609,54.54
610,228.56
611,144.68
614,103.1
615,179.95
616,195.48
617,100.98
618,200.62
624,96.02
629,106.37
631,69.62
633,69.7
637,19.73
638,82.23
643,53.58
644,102.16
645,27.19
646,171.57
648,157.34
650,31.9
651,162.47
652,214.22
656,87.51
657,15.02
659,61.46
660,170.72
662,80.68
665,305.13
675,262.41
681,129.25
682,173.65
685,15.35
686,168.22
689,20.05
696,118.38
703,118.5
704,79.06
705,103.16
714,188.05
717,80.52
718,11.21
720,67.85
721,204.28
723,191.86
726,152.04
728,112.62
730,165.13
731,21.47
734,279.86
737,57.6
738,12.83
745,136.0
746,22.04
749,187.24
752,21.03
753,135.49
758,198.13
765,13.38
766,179.56
768,63.53
769,152.07
774,106.66
775,87.86
781,41.54
784,263.66
794,14.56
795,216.66
796,65.94
802,131.26
803,176.82
805,26.05
806,234.1
807,81.54
809,12.94
810,124.94
812,158.43
814,92.43
818,197.07
819,112.79
825,57.8
836,84.86
839,97.86
847,207.43
848,147.54
851,99.82
852,109.34
853,28.71
857,113.01
858,36.83
859,181.52
861,20.16
867,86.62
870,176.55
871,164.92
872,178.49
874,280.07
881,169.24
886,110.89
890,46.69
895,130.09
899,66.01
900,217.61
901,207.64
902,189.03
903,34.86
913,200.97
918,154.18
923,102.94
924,30.1
926,20.99
927,14.04
930,176.05
934,25.56
937,94.88
939,116.25
941,71.36
942,309.62
946,223.98
950,78.57
953,71.27
959,79.18
961,22.82
962,75.31
964,59.69
969,154.01
971,124.37
976,36.81
978,203.82
980,187.92
981,125.84
990,308.61
993,14.82
996,15.62
998,262.18
999,144.6
1006,98.44
1008,12.23
1013,23.18
1015,80.17
1016,98.55
1022,247.3
1026,176.07
1028,189.78
1031,54.88
1034,39.3
1037,156.23
1040,52.09
1042,14.27
1046,14.66
1048,78.78
1049,88.51
1050,56.88
1051,176.52
1052,186.33
1055,165.02
1060,126.89
1064,21.47
1066,58.25
1071,80.19
1073,9.79
1089,162.66
1091,74.94
1092,60.14
1093,188.44
1096,257.21
1097,177.63
1098,13.73
1099,30.9
1102,154.16
1107,81.85
1109,35.92
1111,102.21
1112,93.02
1114,246.55
1116,235.19
1117,96.14
1118,64.58
1122,108.33
1124,124.65
1127,96.69
1133,170.29
1134,30.17
1135,111.64
1139,235.9
1143,43.41
1150,98.1
1151,92.22
1153,214.24
1155,21.64
1162,21.02
1163,152.2
1166,16.76
1171,72.46
1172,12.4
1173,205.26
1174,62.07
1177,95.64
1178,125.57
1184,149.63
1185,91.52
1186,95.87
1187,136.76
1188,224.62
1191,112.4
1207,99.8
1213,37.35
1215,103.42
1223,142.45
1227,97.23
1236,45.0
1237,43.02
1238,14.9
1241,23.41
1248,12.82
1250,35.72
1251,136.68
1253,91.82
1255,80.14
1257,131.21
1261,91.9
1262,273.37
1265,108.86
1273,150.61
1277,212.34
1278,95.25
1280,88.8
1284,184.65
1285,270.09
1288,29.18
1295,96.66
1297,287.21
1299,202.99
1304,117.22
1308,33.7
1310,75.76
1311,94.74
1314,75.22
1315,91.14
1318,25.34
1320,265.49
1321,235.83
1322,198.6
1330,96.9
1333,137.98
1334,188.54
1341,102.27
1344,118.39
1351,190.26
1354,80.44
1356,43.32
1363,98.78
1365,162.82
1369,100.98
1373,91.82
1375,94.86
1377,66.32
1379,92.09
1380,226.84
1381,77.22
1384,149.08
1390,155.41
1393,197.56
1395,42.62
1399,264.03
1400,71.85
1401,132.39
1404,136.87
1408,10.32
1409,22.72
1413,178.96
1416,230.17
1418,79.76
1423,78.46
1424,21.28
1425,13.14
1433,201.23
1434,120.22
1436,265.55
1442,198.54
1444,66.9
1445,89.24
1452,180.98
1455,135.06
1462,57.97
1467,57.69
1472,35.25
1475,151.27
1493,92.14
1501,182.32
1503,244.08
1504,173.98
1505,12.15
1511,174.49
1512,42.08
1513,61.93
1514,29.9
1528,200.02
1533,186.14
1534,21.61
1536,117.5
1537,64.02
1539,195.23
1550,173.66
1552,169.55
1554,157.62
1555,295.27
1556,76.95
1559,30.77
1563,187.42
1566,127.75
1567,120.46
1568,20.95
1571,185.3
1572,13.26
1574,39.68
1577,14.14
1583,52.09
1585,25.95
1586,158.75
1587,150.6
1596,120.79
1602,32.38
1604,59.36
1605,26.78
1610,241.42
1611,72.14
1616,29.88
1617,82.02
1618,13.1
1622,35.93
1623,27.35
1628,239.89
1631,13.7
1632,152.19
1633,194.23
1634,253.86
1636,181.7
1637,83.76
1643,88.2
1644,83.81
1646,76.38
1648,170.46
1651,25.22
1656,14.44
1658,123.03
1659,13.09
1665,147.18
1666,114.7
1670,34.47
1674,128.33
1679,177.98
1680,172.22
1683,268.83
1686,21.46
1691,79.5
1693,29.46
1696,33.06
1697,77.03
1703,75.9
1706,21.92
1709,146.42
1710,65.54
1712,164.78
1713,103.83
1718,272.22
1719,140.05
1722,227.22
1723,111.94
1724,226.73
1728,46.98
1730,23.93
1732,22.65
1737,31.28
1745,65.58
1747,11.94
1748,9.44
1755,78.59
1759,12.91
1761,221.57
1764,185.21
1765,124.32
1766,65.82
1768,84.86
1770,23.33
1771,115.02
1774,78.7
1785,104.85
1788,150.04
1792,11.32
1794,182.14
1797,97.53
1798,11.24
1799,217.22
1802,82.6
1806,26.27
1808,57.64
1810,208.15
1818,94.5
1819,311.5
1820,229.19
1822,183.78
1826,181.92
1827,146.11
1835,13.74
1841,96.07
1842,126.62
1843,13.06
1846,36.2
1849,77.42
1850,152.94
1851,150.82
1857,45.51
1858,146.42
1860,77.9
1861,194.42
1864,93.21
1869,261.76
1871,57.57
1872,26.75
1875,13.54
1878,184.21
1879,195.55
1885,74.79
1888,83.82
1889,22.9
1890,74.92
1896,117.79
1897,131.6
1898,93.17
1900,84.44
1905,34.13
1908,96.54
1909,81.79
1913,59.97
1918,86.97
1922,256.22
1923,108.08
1925,215.09
1926,124.59
1927,246.91
1930,157.07
1935,55.22
1939,92.82
1942,77.29
1943,178.24
1948,199.98
1949,212.62
1951,85.5
1953,96.06
1959,106.0
1963,12.72
1967,107.27
1973,214.37
1975,21.75
1976,70.04
1990,97.02
1993,92.16
1997,160.01
1999,107.1
2001,244.27
2004,64.09
2010,81.97
2013,105.15
2017,246.14
2021,88.27
2023,131.73
2026,116.15
2037,28.54
2039,152.62
2041,14.14
2046,25.29
2050,12.7
2060,188.42
2067,83.85
2069,127.25
2072,201.47
2074,117.58
2079,100.23
2083,22.2
2085,156.61
2087,14.24
2093,113.45
2094,25.79
2097,33.39
2103,72.66
2104,45.54
2107,148.19
2108,16.46
2110,78.17
2115,151.44
2117,23.98
2125,260.88
2127,216.38
2133,12.22
2134,313.19
2135,94.47
2141,204.08
2143,25.94
2145,65.0
2146,22.9
2147,231.0
2148,49.05
2149,59.94
2165,100.6
2166,130.54
2177,168.67
